id,company,industry,num,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
DB손해보험_손보_02.csv,DB손해보험,손보,02,17년12월(4Q),71200,48330,34024,1385,1049,-3629,65787,7.62,1.08,1477,900.94,-0.54,31.27,3,9.08,24.35,59.51
DB손해보험_손보_02.csv,DB손해보험,손보,02,17년09월(3Q),73000,47640,33661,2331,1763,1583,65223,8.07,1.12,2453,907.81,2.76,-7.33,5.53,15.3,-0.61,65.82
DB손해보험_손보_02.csv,DB손해보험,손보,02,17년06월(2Q),68000,46737,34273,2669,2156,4773,63908,7.5,1.06,3007,905.08,4.22,23.44,6.58,19.69,39.25,67.13
DB손해보험_손보_02.csv,DB손해보험,손보,02,17년03월(1Q),64000,43269,33759,2295,1724,-5887,59071,7.79,1.08,2401,940.85,3.65,50.07,4.63,16.34,51.88,55.51
DB손해보험_손보_02.csv,DB손해보험,손보,02,16년12월(4Q),62500,43447,34209,1055,836,10078,59312,8.45,1.05,1188,932.59,4.44,96.38,2.49,7.37,178.47,61.61
DB손해보험_손보_02.csv,DB손해보험,손보,02,16년09월(3Q),68200,51895,32755,2515,1780,6311,70499,10.28,0.97,2468,743.81,4.1,106.43,5.62,15.11,94.78,57.54
DB손해보험_손보_02.csv,DB손해보험,손보,02,16년06월(2Q),69300,44608,32886,2162,1568,6913,60990,12.75,1.14,2159,845.88,4.78,2.33,5.25,14.82,-15.82,61.93
DB손해보험_손보_02.csv,DB손해보험,손보,02,16년03월(1Q),75900,41299,32571,1529,1154,7724,56451,13,1.34,1581,892.16,5.91,-14.77,3.6,11.52,-4.55,58.46
DB손해보험_손보_02.csv,DB손해보험,손보,02,15년12월(4Q),70300,39669,32754,537,294,11375,54173,11.88,1.3,427,908.8,7.16,50.23,1.38,3.16,-46.07,62.84
DB손해보험_손보_02.csv,DB손해보험,손보,02,15년09월(3Q),61300,39998,31464,1218,905,2138,54607,9.76,1.12,1267,870.82,6.44,-5.16,2.86,9.58,-4.01,54.52
DB손해보험_손보_02.csv,DB손해보험,손보,02,15년06월(2Q),56500,38178,31386,2113,1882,7429,52087,8.92,1.08,2565,873.92,6.19,-0.64,5.35,19.94,12.22,60.48
DB손해보험_손보_02.csv,DB손해보험,손보,02,15년03월(1Q),49450,37734,30755,1794,1224,3390,51672,8.17,0.96,1656,858.1,7.2,18.07,4.66,13.25,5.87,59.08
DB손해보험_손보_02.csv,DB손해보험,손보,02,14년12월(4Q),55000,35912,30565,358,505,8025,49200,9.23,1.12,791,872.72,5.16,-59.89,0.92,6.57,52.69,55.15
DB손해보험_손보_02.csv,DB손해보험,손보,02,14년09월(3Q),59500,35325,29560,1285,994,4613,47887,10.46,1.24,1320,853.47,21.87,-8.05,3.74,11.51,-17.78,62.46
DB손해보험_손보_02.csv,DB손해보험,손보,02,14년06월(2Q),52000,32993,29556,2126,1651,9804,44726,8.15,1.16,2286,883.22,4.5,16.61,5.78,21.68,13.38,59.04
DB손해보험_손보_02.csv,DB손해보험,손보,02,14년03월(1Q),55200,29872,28690,1519,1143,4964,40477,10.26,1.36,1564,946.43,2,51.43,4.39,15.97,22.18,60.71
DB손해보험_손보_02.csv,DB손해보험,손보,02,13년12월(4Q),56200,28578,29065,891,297,-671,38752,9.96,1.45,518,960.74,19.8,-19.99,2.66,5.44,-71.63,63.35
DB손해보험_손보_02.csv,DB손해보험,손보,02,13년09월(2Q),46200,28552,28282,1823,1445,-1241,38200,6.87,1.21,2016,934.45,18.78,-2.2,5.12,21.84,-4.01,56.26
DB손해보험_손보_02.csv,DB손해보험,손보,02,13년06월(1Q),48300,27304,28128,1003,890,12059,36500,7.09,1.32,1280,962.3,17.48,-23.66,2.89,13.44,-11.65,56.92
DB손해보험_손보_02.csv,DB손해보험,손보,02,13년03월(4Q),45600,30666,24263,1114,1292,2813,40540,6.53,1.12,1825,821.22,-3.99,26.14,4.05,18.85,80.07,69.5
DB손해보험_손보_02.csv,DB손해보험,손보,02,12년12월(3Q),45950,26440,24256,1397,1137,163,37763,7.45,1.22,1606,709.09,1.64,-6.97,4.7,17.14,11.22,59.06
DB손해보험_손보_02.csv,DB손해보험,손보,02,12년09월(2Q),48400,26628,23810,1865,1487,-4826,38029,8.06,1.27,2100,662.97,12.31,89.31,6.52,23.92,102.71,58.45
DB손해보험_손보_02.csv,DB손해보험,손보,02,12년06월(1Q),41950,23098,23944,1314,1026,2124,33043,8.49,1.27,1449,719.69,23.02,-22.57,4.68,17.96,-21.13,56.78
