year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
16,GS,정유,16년12월(4Q),54100,89203,37344,5065,2908,761,73546,0.74,128.03,23.22,13.56,13.77,23.93
16,GS,정유,16년09월(3Q),53500,85396,33358,4178,1819,2190,70003,0.76,135.71,12.96,12.52,9.67,23.13
16,GS,정유,16년06월(2Q),47450,84197,33251,5016,2865,1954,68962,0.69,138.42,-2.52,15.09,16.28,25.76
16,GS,정유,16년03월(1Q),59000,80509,30672,3284,1641,3612,66160,0.89,149.81,10.14,10.71,9.68,21.76
15,GS,정유,15년12월(4Q),50700,80979,30306,3856,324,1168,66752,0.76,134.91,5.08,12.72,4.11,23.61
15,GS,정유,15년09월(3Q),45550,80186,29530,3178,772,2509,66554,0.68,132.67,8.34,10.76,3.88,21.61
15,GS,정유,15년06월(2Q),49750,74969,34110,7029,2593,2667,65072,0.76,119.52,30.75,20.61,16.27,29.8
15,GS,정유,15년03월(1Q),42900,72337,27849,1980,1404,187,62435,0.69,119.5,5.2,7.11,8.22,18.33
14,GS,정유,14년12월(4Q),40000,72179,28842,-1930,-3622,1303,62381,0.64,108.82,21.64,-6.69,-22.83,4.15
14,GS,정유,14년09월(3Q),40300,76051,27257,240,-309,449,66236,0.61,97.69,7.04,0.88,-2.83,12.02
14,GS,정유,14년06월(2Q),45100,76321,26088,658,278,566,66671,0.68,91.33,18.25,2.52,0.72,14.12
14,GS,정유,14년03월(1Q),48200,75578,26474,689,446,2686,66767,0.72,97.21,7.63,2.6,2.1,13.67
13,GS,정유,13년12월(4Q),57300,74245,23710,338,-299,712,69429,0.83,70.2,0.43,1.43,-2.93,13.46
13,GS,정유,13년09월(3Q),56400,74590,25464,2641,2516,2276,69973,0.81,70.79,0.14,10.37,14.19,21.66
13,GS,정유,13년06월(2Q),51400,72124,22061,747,518,1705,67585,0.76,73.49,-9.38,3.39,1.96,16.13
13,GS,정유,13년03월(1Q),64100,71556,24597,1795,1616,3245,67194,0.95,78.68,3.46,7.3,9.06,18.64
12,GS,정유,12년12월(4Q),72000,71730,23608,1383,1091,1301,66984,1.07,77.23,2.29,5.86,6.1,18.05
12,GS,정유,12년09월(3Q),66800,70928,25428,2597,2266,1569,66240,1.01,77.51,19.35,10.21,13.2,21.16
12,GS,정유,12년06월(2Q),52000,68808,24345,699,377,832,64254,0.81,75.05,21.92,2.87,0.98,13.01
12,GS,정유,12년03월(1Q),64900,68413,23776,2163,1995,4052,64071,1.01,74.48,14.12,9.1,11.85,19.34
19,GS건설,건설,19년09월(3Q),33000,40718,24416,1877,1729,2766,50191,0.66,234.62,-23.64,7.69,17.83,13.44
19,GS건설,건설,19년06월(2Q),40350,38772,25750,2059,1454,-703,47467,0.85,233.75,-28.11,8,15.56,13.28
